Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.019196	1	0.035714	0
10.019196	2	0.071429	0
10.019196	3	0.107143	0
10.019196	4	0.142857	0
10.019196	5	0.178571	0
10.019196	6	0.214286	0
10.019196	7	0.250000	0
10.019196	8	0.285714	0
10.019196	9	0.321429	0
10.019196	10	0.357143	0
10.019196	28	1.000000	1
20.037031	1	0.010309	0
20.037031	2	0.020619	0
20.037031	3	0.030928	0
20.037031	4	0.041237	0
20.037031	5	0.051546	0
20.037031	6	0.061856	0
20.037031	7	0.072165	0
20.037031	8	0.082474	0
20.037031	9	0.092784	0
20.037031	10	0.103093	0
20.037031	97	1.000000	1
30.046728	1	0.005291	0
30.046728	2	0.010582	0
30.046728	3	0.015873	0
30.046728	4	0.021164	0
30.046728	5	0.026455	0
30.046728	6	0.031746	0
30.046728	7	0.037037	0
30.046728	8	0.042328	0
30.046728	9	0.047619	0
30.046728	10	0.052910	0
30.046728	189	1.000000	1
40.050816	1	0.002976	0
40.050816	2	0.005952	0
40.050816	3	0.008929	0
40.050816	4	0.011905	0
40.050816	5	0.014881	0
40.050816	6	0.017857	0
40.050816	7	0.020833	0
40.050816	8	0.023810	0
40.050816	9	0.026786	0
40.050816	10	0.029762	0
40.050816	336	1.000000	1
50.053997	1	0.002381	0
50.053997	2	0.004762	0
50.053997	3	0.007143	0
50.053997	4	0.009524	0
50.053997	5	0.011905	0
50.053997	6	0.014286	0
50.053997	7	0.016667	0
50.053997	8	0.019048	0
50.053997	9	0.021429	0
50.053997	10	0.023810	0
50.053997	420	1.000000	1
60.056282	1	0.001905	0
60.056282	2	0.003810	0
60.056282	3	0.005714	0
60.056282	4	0.007619	0
60.056282	5	0.009524	0
60.056282	6	0.011429	0
60.056282	7	0.013333	0
60.056282	8	0.015238	0
60.056282	9	0.017143	0
60.056282	10	0.019048	0
60.056282	525	1.000000	1
70.060707	1	0.001754	0
70.060707	2	0.003509	0
70.060707	3	0.005263	0
70.060707	4	0.007018	0
70.060707	5	0.008772	0
70.060707	6	0.010526	0
70.060707	7	0.012281	0
70.060707	8	0.014035	0
70.060707	9	0.015789	0
70.060707	10	0.017544	0
70.060707	570	1.000000	1
80.064461	1	0.001558	0
80.064461	2	0.003115	0
80.064461	3	0.004673	0
80.064461	4	0.006231	0
80.064461	5	0.007788	0
80.064461	6	0.009346	0
80.064461	7	0.010903	0
80.064461	8	0.012461	0
80.064461	9	0.014019	0
80.064461	10	0.015576	0
80.064461	642	1.000000	1
90.067116	1	0.001271	0
90.067116	2	0.002541	0
90.067116	3	0.003812	0
90.067116	4	0.005083	0
90.067116	5	0.006353	0
90.067116	6	0.007624	0
90.067116	7	0.008895	0
90.067116	8	0.010165	0
90.067116	9	0.011436	0
90.067116	10	0.012706	0
90.067116	787	1.000000	1
100.070351	1	0.001198	0
100.070351	2	0.002395	0
100.070351	3	0.003593	0
100.070351	4	0.004790	0
100.070351	5	0.005988	0
100.070351	6	0.007186	0
100.070351	7	0.008383	0
100.070351	8	0.009581	0
100.070351	9	0.010778	0
100.070351	10	0.011976	0
100.070351	835	1.000000	1
110.073860	1	0.001045	0
110.073860	2	0.002090	0
110.073860	3	0.003135	0
110.073860	4	0.004180	0
110.073860	5	0.005225	0
110.073860	6	0.006270	0
110.073860	7	0.007315	0
110.073860	8	0.008359	0
110.073860	9	0.009404	0
110.073860	10	0.010449	0
110.073860	957	1.000000	1
120.075172	1	0.001081	0
120.075172	2	0.002162	0
120.075172	3	0.003243	0
120.075172	4	0.004324	0
120.075172	5	0.005405	0
120.075172	6	0.006486	0
120.075172	7	0.007568	0
120.075172	8	0.008649	0
120.075172	9	0.009730	0
120.075172	10	0.010811	0
120.075172	925	1.000000	1
130.078583	1	0.000918	0
130.078583	2	0.001837	0
130.078583	3	0.002755	0
130.078583	4	0.003673	0
130.078583	5	0.004591	0
130.078583	6	0.005510	0
130.078583	7	0.006428	0
130.078583	8	0.007346	0
130.078583	9	0.008264	0
130.078583	10	0.009183	0
130.078583	1089	1.000000	1
140.080872	1	0.000796	0
140.080872	2	0.001591	0
140.080872	3	0.002387	0
140.080872	4	0.003182	0
140.080872	5	0.003978	0
140.080872	6	0.004773	0
140.080872	7	0.005569	0
140.080872	8	0.006364	0
140.080872	9	0.007160	0
140.080872	10	0.007955	0
140.080872	1257	1.000000	1
150.083481	1	0.000594	0
150.083481	2	0.001188	0
150.083481	3	0.001781	0
150.083481	4	0.002375	0
150.083481	5	0.002969	0
150.083481	6	0.003563	0
150.083481	7	0.004157	0
150.083481	8	0.004751	0
150.083481	9	0.005344	0
150.083481	10	0.005938	0
150.083481	1684	1.000000	1
160.085587	1	0.000462	0
160.085587	2	0.000925	0
160.085587	3	0.001387	0
160.085587	4	0.001849	0
160.085587	5	0.002312	0
160.085587	6	0.002774	0
160.085587	7	0.003236	0
160.085587	8	0.003699	0
160.085587	9	0.004161	0
160.085587	10	0.004623	0
160.085587	2163	1.000000	1
170.086319	1	0.000397	0
170.086319	2	0.000793	0
170.086319	3	0.001190	0
170.086319	4	0.001587	0
170.086319	5	0.001983	0
170.086319	6	0.002380	0
170.086319	7	0.002777	0
170.086319	8	0.003173	0
170.086319	9	0.003570	0
170.086319	10	0.003967	0
